site_id,dem_tile,dem_tiles_used,slope_samples,mean_slope_deg,p90_slope_deg
OSM-1094113432,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1197,0.828,1.994
OSM-1094113433,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,660,1.013,2.727
OSM-1094113434,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1043,0.587,0.982
OSM-1094113435,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,6242,0.759,1.277
OSM-1094113436,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3701,0.692,1.389
OSM-1094113438,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,639,0.683,1.574
OSM-1094115794,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,843,0.552,1.031
OSM-1094115795,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,6222,0.753,1.135
OSM-1094115797,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3061,0.9,1.904
OSM-1094115798,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,4656,0.651,1.022
OSM-1094115799,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,661,0.763,1.413
OSM-1094118933,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,557,1.439,2.755
OSM-1094118935,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2032,1.006,1.811
OSM-1094118937,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1421,0.974,1.681
OSM-1094118938,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3040,0.847,1.472
OSM-1094131997,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1487,0.635,1.031
OSM-1094131998,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2108,0.732,1.354
OSM-1094131999,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1904,0.941,1.947
OSM-1094132000,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1114,1.291,3.307
OSM-1094132001,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,614,0.734,1.276
OSM-1094132002,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3778,0.573,0.911
OSM-1094132006,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1060,1.196,2.837
OSM-1094147394,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,835,1.475,3.714
OSM-1094147395,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2047,0.711,0.993
OSM-1094147396,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1988,0.843,1.426
OSM-1094147397,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,803,1.029,2.052
OSM-1094147400,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,909,1.21,2.1
OSM-1094224825,Copernicus_DSM_COG_10_S45_00_E171_00_DEM,1,492,1.145,2.632
OSM-1094224826,Copernicus_DSM_COG_10_S45_00_E171_00_DEM,1,358,0.642,1.087
OSM-1094224829,Copernicus_DSM_COG_10_S45_00_E171_00_DEM,1,633,1.0,2.064
OSM-1094224831,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S45_00_E171_00_DEM,2,676,0.506,0.698
OSM-1094224840,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,478,0.456,0.709
OSM-1094224841,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S45_00_E171_00_DEM,2,1609,0.445,0.663
OSM-1094224849,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S45_00_E171_00_DEM,2,666,1.343,1.88
OSM-1094224853,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,964,0.531,0.96
OSM-1094224854,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,717,0.476,0.778
OSM-1094224855,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2194,0.455,0.751
OSM-1094224856,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1095,0.631,1.041
OSM-1094224857,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1494,0.462,0.783
OSM-1094224858,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,6259,0.783,1.094
OSM-1094224863,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1133,1.669,2.488
OSM-1094224864,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,677,2.045,4.147
OSM-1094224865,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2032,0.845,1.861
OSM-1094224866,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1430,0.693,1.212
OSM-1094224867,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,532,1.534,3.949
OSM-1094224868,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,676,0.972,2.561
OSM-1094224869,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2626,0.908,1.463
OSM-1094224870,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,362,1.386,4.297
OSM-1094224871,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,8570,0.726,1.289
OSM-1094224872,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,601,0.873,2.441
OSM-1094224873,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,531,1.581,3.267
OSM-1094224874,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,980,1.239,1.538
OSM-1094224875,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,700,0.698,1.206
OSM-1094244671,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,592,0.551,0.78
OSM-1094244672,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,2570,0.707,1.13
OSM-1094244673,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,781,0.866,1.219
OSM-1094244674,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1272,0.786,1.253
OSM-1094244676,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,668,0.493,0.83
OSM-1094244678,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,638,0.548,0.951
OSM-1094244679,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,413,0.584,1.112
OSM-1094248096,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,465,0.509,0.768
OSM-1094248097,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,566,0.492,0.773
OSM-1094248098,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1328,0.467,0.76
OSM-1094248099,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,942,0.545,0.813
OSM-1094248101,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,3605,0.609,0.983
OSM-1094248103,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,423,0.643,1.469
OSM-1094248104,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,403,0.702,1.394
OSM-1094248105,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,417,0.599,1.009
OSM-1094248108,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,627,0.493,0.789
OSM-1094248113,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,734,0.489,0.71
OSM-1094248114,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,390,0.432,0.657
OSM-1094248116,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,727,0.453,0.662
OSM-1094248117,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,397,0.473,0.655
OSM-1094248118,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,371,0.585,0.885
OSM-1094248120,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1563,0.439,0.717
OSM-1094248121,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,551,0.543,0.979
OSM-1094248122,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,483,0.627,1.109
